Continente,CountryName,Portge_voto_pgob,Portge_voto_gob,Diferencia_voto,Portge_voto_pganador,Prtdo_ganador,Date_elec,wave,StringencyIndex,EconomicSupportIndex,Crecimiento,Muertes_Cov_19,Inflacion_2020,Inflacion_2021,Tipo_elec,Tipo,Exces_mor,Date_elec,bed_1000
0,Norway,27.37 ,26.3,-1.07,26.3,0,13/09/2021,1,38.89,37.5,-1.300000154,827,1.286584907,3.483880553,0,0,8.79,13/09/2021,3.6
2,Peru,50.13,,,50.12,1,06/06/2021,1,75.93,50,-12.39213069,186073,2.002412058,4.271663815,1,1,81.79,06/06/2021,1.6
3,Philippines,39.01,6.81,-32.2,58.7,1,09/05/2022,2,78.24,0,-10.78151355,60439,2.635228849,,1,1,-4.28,09/05/2022,1
0,Portugal,22.9,13,-9.9,60.7,1,24/01/2021,1,87.96,75,-8.613931968,10469,-0.01243833,1.265657191,1,1,-4.15,24/01/2021,3.39
0,Portugal,36.34,41.37,5.03,41.37,0,30/01/2022,2,35.19,0,-8.613931968,19905,-0.01243833,1.265657191,2,0,-4.15,30/01/2022,3.39
0,Rumania,45.48,28.9,-16.58,28.9,0,06/12/2020,0,76.85,0,-3.504430231,94,2.631073112,5.052328761,2,1,14.3,06/12/2020,6.892
4,Samoa,56.92,55.38,-1.54,55.38,0,09/04/2022,2,65,0,-3.239176189,3,-1.568912477,3.133204732,0,0,0.2,09/04/2022,30.7
1,San tome y principe,100,57.54,-42.46,57.54,0,25/09/2022,2,75,0,1.155038083,77,5.7,,1,1,0.4,25/09/2022,2.9
5,Santa Lucia,54.76,42.91,-11.85,54.14,1,26/07/2021,1,70,7.5,-20.7352861,88,-1.755808335,,2,0,2.4,26/07/2021,1.3
1,Senegal,49.47,46.56,-2.91,46.56,0,31/07/2022,2,19.44,0,-1.213341926,1968,2.547434646,,2,1,1.4,31/07/2022,10.9
0,Serbia,49.71,63.02,13.31,63.02,0,20/06/2020,0,27.78,37.5,-0.413904468,260,1.575532901,4.085102853,0,0,7.3,20/06/2020,5.609
0,Serbia,63.02,44.27,-18.75,44.27,0,03/04/2022,2,36.11,50,-0.413904468,15825,1.575532901,4.085102853,0,0,23.86,03/04/2022,5.609
1,Seychelles,47.76,42.35,-5.41,47.76,1,24/10/2020,0,31.48,37.5,-11.5294348,0,8.276858114,,1,1,-43.72,24/10/2020,3.6
3,Singapore,69.86,61.23,-8.63,61.23,0,10/07/2020,0,50.93,100,-5.095470629,26,-0.181916667,2.30485959,0,0,-6.07,10/07/2020,2.4
0,Slovakia,28,13,-15,13,0,15/12/2022,2,11.11,0,-4.440749635,20776,1.936941267,3.149606299,0,0,-3.72,15/12/2022,5.82
0,Slovenia,24.92,23.48,-1.44,34.45,1,24/04/2022,2,22.22,0,-4.764678903,6578,-0.054856816,1.917065061,0,0,4.24,24/04/2022,4.5
3,South Korea,41.08,47.83,6.75,48.56,1,09/03/2022,2,40.74,25,-0.988901199,9646,0.537288023,2.498333333,1,1,38.04,09/03/2022,12.27
0,Suecia,28.3,30.3,2,30.3,0,11/09/2022,2,11.11,0,-3.646997137,20006,0.497367319,2.163197364,0,0,4.2,11/09/2022,10.9
5,Suriname,45.49,23.97,-21.52,39.45 ,1,25/05/2020,0,70.37,25,-16.66353165,1,34.89294916,59.11170965,0,0,-15.05,25/05/2020,3.1
3,Timor-Leste,49.58,33.8,-15.78,37,1,21/05/2023,3,45,0,8.252053137,300,0.5,,0,0,0.5,21/05/2023,5.9
3,Timor-Leste,57.08,37.9,-19.18,62.1,1,19/04/2022,2,36.11,0,8.252053137,130,0.5,,1,0,0.2,19/04/2022,5.9
5,Trinidad and Tobago,51.68,49.08,-2.6,49.08,0,10/08/2020,0,60.19,0,-8.151679972,8,0.598986331,,0,0,11.5,10/08/2020,3
3,Turkmenistan,97.69,72.97,-24.72,72.97,0,12/03/2022,2,66.67,0,-2.94,0,6.1,4.668637453,0,0,1.5,12/03/2022,7.4
3,Turkmenistan,44,52,8,52,0,26/03/2023,3,13.89,0,-2.94,0,6.1,4.668637453,0,0,1,26/03/2023,7.4
5,United States of America,46.15,46.91,0.76,51.38,1,03/11/2020,0,62.5,62.5,-3.742961512,232807,1.233584396,4.697858864,1,1,14.72,03/11/2020,2.77
3,Uzbekistan,88.61,80.31,-8.3,80.31,0,24/10/2021,1,39.81,75,-0.221646203,1304,12.5,,1,1,13.32,24/10/2021,4
1,Zambia,50.35,38.71,-11.64,59.02,1,12/08/2021,1,50.93,25,-5.550283259,3512,15.73258514,,2,1,2.5,12/08/2021,2
