CountryName,year,StringencyIndex,Camas_hosp,Cred_pob,Robustez_ins,densidad_pob,pob_65mayor,P10lees,Prime_risk,CDS,Defaul_spred,exs_morta,edu_terciaria,Crecimiento2,Continente,Decesos,muertes,infections,Contagios,Pib_per_prctg,Pob_extrem
South Korea,2020,49.42956284,12.27,94.6,0.8379,531.1090061,15.82906932,2.996851303,4,21.98,0.8,2.8,0.5,-0.988631819,3,900,2074,61769,61769,-0.988631819,0.2
South Korea,2021,51.42364384,12.27,94.6,0.8405,527.967,16.65076472,2.87238592,5,19.11,0.7,4,0.53,4.204822748,3,5563,2115,639083,639083,4.204822748,0.2
South Korea,2022,40.74,12.27,94.6,0.8012,527.967,16.65076472,2.934618612,6,18.34,0.6,38.04,0.55,2.5,3,32156,2153,18129313,18129313,3.2,0.2
Kyrgyzstan,2019,0,4.5,16.4,0.3824,33.66110532,4.157223929,86.39897281,,,,,,2.439335207,3,,,0,0,,
Kyrgyzstan,2020,64.35,4.5,16.4,0.42,34.30604797,4.267982532,88.16839189,3,2250,1.5,6.6,0.1,-10.12044553,3,1355,2284,81034,81034,-10.12044553,3.1
Kyrgyzstan,2021,48.94528767,4.5,16.4,0.424,32.333,4.385251963,87.28368235,4,2350,1.8,7.8,0.12,1.841515114,3,2802,3423,184748,184748,1.841515114,2.9
Kyrgyzstan,2022,41.83333333,4.5,16.4,0.4144,32.333,4.385251963,87.5,5,2450,2.2,4,0.13,3.5,3,2991,2607,200993,200993,3.7,2.8
Suriname,2019,0,3.1,27.7,0.3884,3.848083333,6.931278585,,,,,,,0.163586538,5,,,0,0,,
Suriname,2020,70.37,3.1,27.7,0.432,3.891442308,7.114806487,42.1,9.56,1200,8,-15.05,0.04,-16.66353165,5,120,143,6210,6210,3.1,2.2
Suriname,2021,73.39357143,3.1,27.7,0.407,3.612,7.266170678,41.5,8.39,1400,8,1,0.05,-4.320904583,5,1189,212,52612,52612,3.5,2.1
Suriname,2022,55.52861702,3.1,27.7,0.4087,3.612,7.266170678,40.9,13.98,1600,12,1.2,0.05,2.5,5,1393,189,80547,80547,4.8,2
Suecia,2019,0,10.9,85.9,0.937,24.718,19,1.372846069,,,,,,0.957561656,0,,,0,0,,
Suecia,2020,6,10.9,85.9,0.9394,24.718,20.1,1.753858899,1,25,0.21,1,0.5,-3.646997137,0,9616,15208,146158,146158,-3.643079592,0.1
Suecia,2021,16,10.9,85.9,0.9311,24.718,20.2,1.563352484,1.2,20,0.17,2.2,0.53,4.173074337,0,15335,21,781583,781583,4.173074337,0.1
Suecia,2022,11.11,10.9,85.9,0.9313,24.718,20.3,1.658605691,1.4,15,0.15,4.2,0.55,2,0,22288,19149,2709830,2709830,3.1,0.1
Turkmenistan,2019,0,7.4,1.9,0.056,12.253,4.277,,,,,,,4.668637453,3,,,0,0,,
Turkmenistan,2020,8,7.4,1.9,0.0738,12.253,4.277,30,1,2000,2.5,4.8,0.1,-6.1,3,1028,1281,8104,1,-2.4,1.5
Turkmenistan,2021,10,7.4,1.9,0.0539,12.253,4.277,32,1.2,2100,3,1.5,0.12,6.8,3,548,2040,12133,1,3.6,1.4
Turkmenistan,2022,66.67,7.4,1.9,0.1252,12.253,4.277,34,1.4,2200,3.5,7.2,0.13,5,3,276,1722,14201,1,3.5,1.3
Timor-Leste,2019,0,5.9,1.4,0.3031,86.10880968,5.429199004,95.7885934,,,,,,17.21141038,3,,,0,0,,
Timor-Leste,2020,31.83092896,5.9,1.4,0.263,87.42400807,5.372059123,97.05777197,2,2200,0.8,1.8,0.01,8.252053137,3,11,25,44,44,8.252053137,40.6
Timor-Leste,2021,58.78561644,5.9,1.4,0.2938,87.176,5.285356965,96.42318268,2.2,2300,1.1,2.1,0.01,2.424215621,3,122,38,19839,19839,2.424215621,39.9
Timor-Leste,2022,36.11,5.9,1.4,0.2994,87.176,5.285356965,96.74047733,2.4,2400,1.4,0.2,0.01,3,3,138,33,22916,22916,5.1,39.2
Trinidad and Tobago,2019,0,3,53.8,0.5296,296.2875244,10.12776694,,,,,,,-0.538413534,5,,,0,0,,
Trinidad and Tobago,2020,60.19,3,53.8,0.5257,295.9350877,10.67442744,45.59679116,3.67,2400,2.93,11.5,0.12,-7.673575137,5,126,400,7150,7150,-3.1,1.2
Trinidad and Tobago,2021,70.74245902,3,53.8,0.5515,266.886,11.10061658,43.73903562,2.1,2500,2.06,4.2,0.14,-1.259271741,5,2825,577,92201,92201,2.3,1.1
Trinidad and Tobago,2022,51.62074766,3,53.8,0.574,266.886,11.10061658,44.66791339,4.21,2600,3.61,5.4,0.15,2.5,5,4283,5,161790,161790,4.3,1
United States of America,2019,0,2.77,80.5,0.9103,35.89317567,15.79180083,2.246787082,,,,,,1.824124482,5,,,0,0,,
United States of America,2020,62.5,2.77,80.5,0.9,36.23984468,16.22340015,2.372703863,2,15,0,14.72,0.4,-4.328617754,5,352004,351000,20191316,20191316,-4.328617754,2.3
United States of America,2021,57.7230137,2.77,80.5,0.894,35.608,16.67889549,2.309745472,2.2,20,0,9.2,0.43,5.546087223,5,819055,579000,55024443,55024443,5.546087223,2.2
United States of America,2022,56.85113402,2.77,80.5,0.8776,35.608,16.67889549,2.341224668,2.4,25,0,10.4,0.45,2,5,1082456,671000,84449947,84449947,2.7,2.1
Uzbekistan,2019,0,4,10.6,0.228,76.134,4.469,99.78672423,,,,,,3.744517567,3,,,0,0,,
Uzbekistan,2020,42.59,4,10.6,0.274,76.134,4.469,99.71433335,6.61,2600,5.28,5.8,0.15,-0.221646203,3,614,11603,77060,77060,-0.053436006,2.1
Uzbekistan,2021,39.81,4,10.6,0.323,76.134,4.469,99.75052879,3.78,2700,3.72,13.32,0.17,5.318632477,3,1485,16614,198903,198903,5.318632477,2
Uzbekistan,2022,5.56,4,10.6,0.288,76.134,4.469,99.73243107,6.29,2800,5.4,8.2,18,2.5,3,1637,14265,249217,249217,3.3,1.9
Zambia,2019,0,2,15.4,0.3575,22.995,2.48,95.07470996,,,,,,-1.451364465,1,,,0,0,,
Zambia,2020,50.93,2,15.4,0.3636,22.995,2.48,95.68720977,17.63,750,14.08,3.6,0.03,-5.550283259,1,386,6335,20725,20725,-5.550283259,58.7
Zambia,2021,50.93,2,15.4,0.363,22.995,2.48,95.38095987,10.07,850,9.91,2.5,0.05,0.634881724,1,3730,9344,254274,254274,0.634881724,58
Zambia,2022,8.33,2,15.4,0.304,22.995,2.48,95.53408482,16.78,950,14.39,6,0.03,3,1,4023,7922,334425,334425,4.3,57
Inglaterra,2020,79.63,2.24,72,0.9301,272.898,18.3,1.544759998,0.73,172.6,0.58,16,0.45,-9.9,0,75239,175245,2102109,2102109,-9.601340319,1
Inglaterra,2021,44.06,2.24,73,0.9219,272.898,18.7,1.58558636,0.51,100,0.5,10.5,0.48,7.5,0,149927,155245,3800000,3800000,7.049388486,1
Inglaterra,2022,5.56,2.24,74,0.9107,272.898,19.2,1.565173179,0.84,19.57,0.72,7.5,0.5,3.8,0,200862,13914,5500000,5500000,3,1
